packet_id,bytes_in,bytes_out,duration_ms,src_port,dst_port
1,571,12392,426,56640,443
2,188,9513,157,54339,443
3,2726,3195,361,29956,443
4,2809,4447,472,59645,443
5,1286,13722,266,47118,80
6,3716,9444,58,15350,80
7,1420,3489,208,56091,80
8,4386,13594,441,12790,80
9,1465,3448,222,44657,80
10,4009,8940,320,12959,443
11,1557,11546,466,2753,80
12,995,10488,176,22538,80
13,4978,6404,436,34019,443
14,4333,13367,101,31390,80
15,797,4953,40,55255,443
16,2867,6946,131,28066,80
17,4002,7625,487,33325,443
18,674,3431,288,29655,443
19,2757,7729,39,29121,80
20,1769,5614,59,29002,443
21,4915,4032,127,7875,80
22,1668,3779,402,60979,80
23,260,14976,375,32372,80
24,3820,14518,239,7483,80
25,3482,8081,473,34747,80
26,1354,14732,129,41449,443
27,4785,5629,356,42960,443
28,2916,10186,71,64948,443
29,1994,10271,496,42616,80
30,4163,8184,167,54082,443
31,849,4055,105,1520,443
32,525,9579,231,2037,80
33,2310,4751,380,60478,80
34,4300,10386,448,23540,80
35,1402,3578,454,34778,80
36,2103,14528,67,56243,443
37,573426,341088,2199,32908,3389
38,674,13056,297,49609,80
39,4530,11460,310,13474,80
40,3573,10613,289,65182,80
41,1272,5893,165,57335,80
42,1545,6820,189,65068,443
43,4331,4372,323,37154,443
44,4717,2505,239,57773,443
45,1642,3715,200,33133,80
46,2951,5481,236,50111,80
47,949380,2091878,3349,10543,22
48,2181,8615,201,56505,443
49,526255,2654076,6005,29280,22
50,2652,14951,276,59525,443
51,3961,2226,455,55857,443
52,4402,2868,248,25421,443
53,3454,9196,429,47250,80
54,490,2295,11,62006,80
55,2591,11052,493,44471,443
56,3955,6217,33,27580,80
57,1166,706,93,15669,443
58,462,5077,75,36070,443
59,1430,8265,204,49061,443
60,1682,12152,324,32449,443
61,864,6710,264,21473,443
62,1339,14050,342,10332,80
63,3248,12378,200,12865,443
64,4221,9094,112,29167,80
65,851,2803,244,22160,443
66,2996,9309,103,20722,80
67,4169,8395,431,5902,443
68,2041,10742,491,40666,443
69,753090,127787,7427,53051,22
70,2641,1013,175,53780,80
71,2457,1041,451,58550,443
72,569,6867,13,48568,80
73,1783,2431,405,32131,443
74,2217,14033,106,33035,80
75,309,10271,148,21854,443
76,792805,3287373,3517,59820,22
77,2982,6129,220,13070,443
78,1038,3695,448,65421,80
79,4597,14523,105,14618,443
80,170592,444633,8699,47974,3389
81,3568,9455,143,5485,80
82,3782,9322,327,63493,443
83,1802,10627,275,14652,443
84,1142,14295,153,26478,443
85,1896,5748,373,51208,80
86,289031,4748753,9757,7074,22
87,2340,13752,80,41219,443
88,2310,6088,182,49318,443
89,3495,14344,412,24257,443
90,994,2506,104,30460,80
91,584831,3205734,8016,24157,3389
92,2180,4534,418,2885,80
93,819,10060,178,52606,443
94,4692,1398,217,55297,80
95,3351,12730,39,47283,443
96,2689,13651,199,22477,80
97,3237,13789,295,46370,443
98,4174,12707,52,6864,443
99,2151,4964,185,51417,443
100,3736,5882,15,1978,80
101,3283,6207,110,55382,443
102,3179,13764,77,37108,443
103,3212,8663,135,3215,443
104,1737,13162,176,53371,80
105,4483,6565,425,54759,80
106,2954,6753,340,35292,80
107,100,14401,383,6962,443
108,886,11268,356,2459,443
109,690,1414,349,25815,80
110,4251,1124,371,62107,80
111,2386,7654,65,65375,443
112,4829,10218,37,2258,443
113,2793,1635,467,12415,80
114,1852,8719,160,31200,80
115,2507,8180,304,6116,443
116,4661,14932,55,29186,443
117,3462,7236,36,41592,80
118,359,5574,460,63481,80
119,3300,4595,376,44919,80
120,265,9921,251,35489,80
121,499,4385,21,52016,443
122,3731,9851,213,4395,443
123,503655,4044950,5364,28665,22
124,3268,10045,167,36866,80
125,1157,9926,168,42502,443
126,3732,7903,385,18630,443
127,4430,10495,239,29025,80
128,2598,13342,80,2076,443
129,1495,5431,16,46648,443
130,384,4280,58,54397,80
131,1379,3732,455,2095,443
132,1987,13980,177,27077,80
133,4925,12237,340,1979,443
134,4139,14735,480,46090,443
135,2964,3403,138,21131,443
136,3091,12976,124,45977,80
137,2009,898,406,13245,443
138,2719,5120,49,22024,443
139,2550,2097,69,61484,80
140,2167,13387,45,41994,80
141,4520,6467,419,46168,443
142,4589,10141,195,62333,443
143,1508,11496,18,64118,80
144,2175,10668,400,65313,80
145,3441,14204,456,61289,80
146,3838,11271,72,20163,80
147,2881,11991,406,37509,80
148,332,2176,182,13355,443
149,1489,6802,20,60536,80
150,4906,5762,471,43364,80
151,2688,10835,420,64297,80
